DCA,-14400,EDT
ATL,-14400,EDT
ANC,-28800,AKDT
AUS,28800,CST
BWI,-14400,EDT
BOS,-14400,EDT
CLT,-14400,EDT
MDW,-18000,CDT
ORD,-18000,CDT
CVG,-14400,EDT
CLE,-14400,EDT
CMH,-14400,EDT
DFW,-18000,CDT
DEN,-21600,MDT
DTW,-14400,EDT
FLL,-14400,EDT
RSW,-14400,EDT
BDL,21600,KGT
HNL,-36000,HST
IAH,-18000,CDT
HOU,-18000,CDT
IND,-14400,EDT
MCI,-18000,CDT
LAS,28800,CST
LAX,-25200,PDT
MEM,-18000,CDT
MIA,-14400,EDT
MSP,-18000,CDT
BNA,-18000,CDT
MSY,-18000,CDT
JFK,-14400,EDT
LGA,-14400,EDT
EWR,-14400,EDT
OAK,-25200,PDT
ONT,-25200,PDT
MCO,-14400,EDT
PHL,-14400,EDT
PHX,-25200,MST
PIT,-14400,EDT
PDX,-25200,PDT
RDU,-14400,EDT
SMF,-25200,PDT
SLC,-21600,MDT
SAT,-18000,CDT
SAN,-25200,PDT
SFO,-25200,PDT
SJC,-25200,PDT
SNA,-25200,PDT
SEA,-25200,PDT
STL,-18000,CDT
TPA,-14400,EDT
IAD,-14400,EDT
DCA,-14400,EDT
